school,name,period,sport_code,coachid,sport
Alabama A&M University,"Oliver, Josh",Aug 2003 - Jun 2014,MGO,3974,Men's Golf
"University of Nevada, Las Vegas","Olivier, Kathy",Aug 2008 -,WBB,21380,Women's Basketball
"University of California, Los Angeles","Olivier, Kathy",Jul 1986 - May 2008,WBB,3283,Women's Basketball
Coppin State University,"Olivieri, Gino",Nov 2015 -,WSB,41976,Softball
University of Connecticut,"Ollie, Kevin",Oct 2012 - Apr 2018,MBB,33904,Men's Basketball
Brigham Young University,"Olmstead, Heather",Aug 2015 -,WVB,41090,Women's Volleyball
Brigham Young University,"Olmstead, Shawn",Aug 2015 -,MVB,41041,Men's Volleyball
Brigham Young University,"Olmstead, Shawn",Aug 2011 - Aug 2015,WVB,27406,Women's Volleyball
University of North Carolina Wilmington,"Olsen, Hans",Sep 2015 -,WTE,39696,Women's Tennis
North Carolina State University,"Olsen, Hans",Nov 2001 - May 2014,WTE,9875,Women's Tennis
Manhattan College,"Olsewski, Walter",Sep 2008 - Aug 2017,MSW,10538,Men's Swimming and Diving
Manhattan College,"Olsewski, Walter",Aug 2003 - Aug 2017,WSW,3640,Women's Swimming and Diving
Manhattan College,"Olsewski, Walter",Aug 2003 - Aug 2011,MGO,7575,Men's Golf
South Carolina State University,"Olson, Amy",Aug 2003 - Aug 2008,WSO,9785,Women's Soccer
Bemidji State University,"Olson, Bruce",Aug 2003 - Jun 2005,WIH,3512,Women's Ice Hockey
Central Michigan University,"Olson, Erik",Jul 2004 - Jan 2016,WVB,3875,Women's Volleyball
Eastern Michigan University,"Olson, Kimi",Mar 2015 -,WVB,39058,Women's Volleyball
Purdue University,"Olson, Lissa",Aug 2001 - Jul 2004,MTO,637,"Men's Track, Outdoor"
Purdue University,"Olson, Lissa",Oct 1998 - Jul 2004,WTI,1138,"Women's Track, Indoor"
Purdue University,"Olson, Lissa",Aug 2001 - Jul 2004,MTI,3551,"Men's Track, Indoor"
Purdue University,"Olson, Lissa",Oct 1998 - Jul 2004,WTO,4811,"Women's Track, Outdoor"
University of Arizona,"Olson, Lute",Aug 2003 - Aug 2007,MBB,5165,Men's Basketball
Stephen F. Austin State University,"Olson, Phil",Feb 2003 -,MTI,22505,"Men's Track, Indoor"
Stephen F. Austin State University,"Olson, Phil",Feb 2003 -,MTO,22506,"Men's Track, Outdoor"
Stephen F. Austin State University,"Olson, Phil",Feb 2003 -,MCC,22504,Men's Cross Country
Stephen F. Austin State University,"Olson, Phil",Feb 2003 -,WTI,22502,"Women's Track, Indoor"
Stephen F. Austin State University,"Olson, Phil",Feb 2003 -,WCC,22507,Women's Cross Country
Stephen F. Austin State University,"Olson, Phil",Feb 2003 -,WTO,22503,"Women's Track, Outdoor"
Towson University,"Olszewski, Frank",Aug 2003 - Jul 2013,MSO,7688,Men's Soccer
"University of California, Berkeley","Onstead, Shellie",Feb 1995 -,WFH,22508,Field Hockey
Columbia University-Barnard College,"Onufrieff, Melanie",Aug 2004 - Jul 2011,WCR,454,Women's Rowing
Cornell University,"Onufrieff, Melanie",Sep 1998 - Sep 2004,WCR,25863,Women's Rowing
U.S. Air Force Academy,"Oosterhous, Daniel J.",Nov 2009 -,MTE,23028,Men's Tennis
Bucknell University,"Opalski, Cynthia A.",Aug 2003 - Apr 2013,WVB,28517,Women's Volleyball
Tennessee State University,"Opdenbrouw, Tom",Jul 2014 - Aug 2017,WSB,36371,Softball
Saint Francis University (Pennsylvania),"Opfar, Dave",May 2002 - Sep 2009,MFB,9127,Football
Duquesne University,"Opperman, Steve",Sep 1998 -,WVB,9278,Women's Volleyball
Saint Peter's University,"Oppici, Bob",Aug 2006 - Jul 2007,MCC,8175,Men's Cross Country
Saint Peter's University,"Oppici, Bob",Aug 2003 - Jul 2005,MTO,4694,"Men's Track, Outdoor"
Saint Peter's University,"Oppici, Bob",Aug 2003 - Jul 2005,MCC,25439,Men's Cross Country
Saint Peter's University,"Oppici, Bob",Aug 2006 - Aug 2007,WCC,25577,Women's Cross Country
Saint Peter's University,"Oppici, Bob",Aug 2006 - Jul 2007,MTI,25441,"Men's Track, Indoor"
Saint Peter's University,"Oppici, Bob",Aug 2006 - Jul 2008,MTO,25442,"Men's Track, Outdoor"
Saint Peter's University,"Oppici, Bob",Aug 2006 - Jul 2007,WCC,25440,Women's Cross Country
Saint Peter's University,"Oppici, Bob",Aug 2003 - Jul 2005,MTI,4056,"Men's Track, Indoor"
Fordham University,"Orchard, Bridget",Aug 2003 - Jul 2018,WSB,9150,Softball
Weber State University,"Ord, Bethann",May 2011 - Aug 2018,WBB,26380,Women's Basketball
University of Dayton,"Ordway, Jason",Aug 2017 -,WCC,48398,Women's Cross Country
University of Dayton,"Ordway, Jason",Aug 2017 -,WTO,48400,"Women's Track, Outdoor"
University of Dayton,"Ordway, Jason",Aug 2015 -,MCC,40422,Men's Cross Country
University of Dayton,"Ordway, Jason",Aug 2017 -,WTI,48399,"Women's Track, Indoor"
New Jersey Institute of Technology,"Orellana, Didier",Jun 2013 - Jan 2016,MSO,33145,Men's Soccer
The University of Tulsa,"Orford, Dean",Jul 2005 -,WTE,8102,Women's Tennis
Vanderbilt University,"Organ, Jeremy",Aug 2006 -,WSW,577,Women's Swimming and Diving
University of Mississippi,"Orgeron, Ed",Jan 2005 - Dec 2007,MFB,5629,Football
Louisiana State University,"Orgeron, Ed",Nov 2016 -,MFB,45450,Football
Michigan State University,"Orlando, Gene",Aug 2003 -,MTE,3690,Men's Tennis
Stetson University,"Orlowski, Julie",Aug 2001 - Mar 2013,WSO,22509,Women's Soccer
Xavier University,"Orner, Ryan",Sep 2012 -,WCC,31783,Women's Cross Country
Xavier University,"Orner, Ryan",Sep 2012 -,MTI,31781,"Men's Track, Indoor"
Xavier University,"Orner, Ryan",Sep 2012 -,WTO,31785,"Women's Track, Outdoor"
Xavier University,"Orner, Ryan",Sep 2012 -,MCC,31780,Men's Cross Country
Xavier University,"Orner, Ryan",Sep 2012 -,MTO,31782,"Men's Track, Outdoor"
Xavier University,"Orner, Ryan",Sep 2012 -,WTI,31784,"Women's Track, Indoor"
Centenary College (Louisiana),"Orr, David",Aug 2007 - Apr 2014,MSO,1386,Men's Soccer
Seton Hall University,"Orr, Louis",Apr 2001 - May 2006,MBB,569,Men's Basketball
Bowling Green State University,"Orr, Louis",May 2007 - Apr 2014,MBB,1583,Men's Basketball
Princeton University,"Orr, Rob",Aug 2003 -,MSW,7394,Men's Swimming and Diving
Florida Atlantic University,"Orsino, Johnny",Oct 2004 - Jan 2006,MGO,4441,Men's Golf
Rider University,"Ortega, Davon",Aug 2017 -,WSB,49500,Softball
Arizona State University,"Ortiz, Thom",May 2001 - May 2009,MWR,1709,Men's Wrestling
"University at Buffalo, the State University of New York","Ortman, Kristen",Sep 2013 -,WTE,33303,Women's Tennis
Siena College,"Osborn, Jeff",Aug 2015 -,MTE,42118,Men's Tennis
Siena College,"Osborn, Jeff",Aug 2015 -,WTE,42119,Women's Tennis
"California State University, Bakersfield","Osbourne, Greg",Aug 2013 - Jul 2014,WGO,33551,Women's Golf
"California State University, Bakersfield","Osbourne, Greg",Aug 2013 - Feb 2015,MGO,33550,Men's Golf
Dartmouth College,"Osgood, Brayton",Aug 2016 -,MSK,44837,Men's Skiing
East Tennessee State University,"Oshoniyi, Adegboyega 'Bo'",May 2014 - May 2018,MSO,35369,Men's Soccer
The Ohio State University,"Osiecki, Mark",Aug 2010 - May 2013,MIH,24316,Men's Ice Hockey
Texas Tech University,"Oskam, Felix",Aug 2003 - Aug 2004,WSO,9722,Women's Soccer
Canisius College,"Osmond, Peter",Aug 2003 - Jul 2012,WCC,3939,Women's Cross Country
Canisius College,"Osmond, Peter",Aug 2003 - Jul 2012,MCC,4084,Men's Cross Country
Missouri State University,"Ostoich, Catherine",Apr 2016 - Sep 2017,WFH,43648,Field Hockey
Lehigh University,"Ota, Liz",Jul 2004 - Jun 2008,WLA,4051,Women's Lacrosse
"University of Nevada, Reno","Otagaki, Erin",Sep 2016 -,WSO,45270,Women's Soccer
South Dakota State University,"Otzelberger, T.J.",May 2016 -,MBB,43285,Men's Basketball
Lehigh University,"Oudin, Manny",Jul 2002 - Feb 2010,WSO,8462,Women's Soccer
Duquesne University,"Ouimet, Jake",May 2006 - Jan 2013,MSO,7919,Men's Soccer
Cleveland State University,"Outman, Madeleine",Oct 2016 -,WTO,49420,"Women's Track, Outdoor"
Cleveland State University,"Outman, Madeleine",Oct 2016 -,WTI,49419,"Women's Track, Indoor"
University of Missouri-Kansas City,"Overton, Bo",Jul 2004 - Jan 2007,WBB,4953,Women's Basketball
Ohio University,"Ovington, Kelly",Aug 2009 -,WGO,22791,Women's Golf
Oregon State University,"Owen, Charlie",Aug 2003 - Jul 2006,WCR,5678,Women's Rowing
Northern Arizona University,"Owen, Dean",Aug 2005 - May 2008,MTE,5957,Men's Tennis
U.S. Naval Academy,"Owen, Pat",Jan 1992 -,MGO,6393,Men's Golf
Northern Illinois University,"Owens, Carol",May 2005 - May 2010,WBB,5602,Women's Basketball
Miami University (Ohio),"Owens, Jack",May 2017 -,MBB,46454,Men's Basketball
University of Akron,"Owens, Lee",Jul 1995 - Dec 2003,MFB,21384,Football
Fairfield University,"Owens, Michael",Aug 2005 - Aug 2007,WCC,9910,Women's Cross Country
Fairfield University,"Owens, Michael",Sep 2005 - Aug 2007,MCC,3124,Men's Cross Country
Colorado College,"Owens, Scott",Jun 1999 - May 2014,MIH,4758,Men's Ice Hockey
Bryant University,"Owens, Steve",Sep 2010 -,MBA,24952,Baseball
Le Moyne College,"Owens, Steve",Aug 2003 - Jul 2010,MBA,6031,Baseball
Norfolk State University,"Owens, Tara",Aug 2006 - Jul 2009,WBB,8258,Women's Basketball
University of Arizona,"Oyen, Lisa",Mar 2010 - Feb 2013,WSO,22780,Women's Soccer
Niagara University,"Ozols, Vilis",Mar 2013 - Mar 2018,WVB,33463,Women's Volleyball
University of Detroit Mercy,"Paajanen, Aaron",Aug 2015 -,WTE,41023,Women's Tennis
University of Detroit Mercy,"Paajanen, Aaron",Aug 2015 -,MTE,41022,Men's Tennis
Southeast Missouri State University,"Pacelli, Jay",Aug 2003 - Dec 2006,WTE,2098,Women's Tennis
Ball State University,"Packard, Kelly",Jun 2008 - May 2012,WBB,9294,Women's Basketball
University of Akron,"Padgett, Brandon",Nov 2010 -,WTE,27172,Women's Tennis
Kennesaw State University,"Padgett, Brandon",Aug 2006 - Nov 2010,WTE,2577,Women's Tennis
Samford University,"Padgett, Scott",Jul 2014 -,MBB,35999,Men's Basketball
Eastern Illinois University,"Padovan, Ray",Aug 2003 - Aug 2008,WSW,6674,Women's Swimming and Diving
Eastern Illinois University,"Padovan, Ray",Aug 2003 - Aug 2008,MSW,8163,Men's Swimming and Diving
Kent State University,"Page, Herb",Oct 1974 - Jul 2013,WGO,32333,Women's Golf
Kent State University,"Page, Herb",Oct 1974 -,MGO,9268,Men's Golf
Niagara University,"Page, Margot",Oct 1997 - Apr 2009,WIH,22510,Women's Ice Hockey
Fairfield University,"Paige, Ed",Oct 2006 - Aug 2014,WTE,5467,Women's Tennis
Fairfield University,"Paige, Ed",Oct 2006 - Aug 2014,MTE,8035,Men's Tennis
Purdue University,"Painter, Matt",May 2005 -,MBB,335,Men's Basketball
"University of California, Irvine","Pajer, Brian",Aug 2003 - Apr 2010,MSW,9082,Men's Swimming and Diving
"University of California, Irvine","Pajer, Brian",Aug 2003 - Jun 2010,WSW,3697,Women's Swimming and Diving
South Dakota State University,"Palileo, Andrew",Aug 2005 - Jun 2008,WVB,3036,Women's Volleyball
Washington State University,"Palileo, Andrew",May 2008 - Apr 2011,WVB,9609,Women's Volleyball
University of North Texas,"Palileo, Andrew",Jul 2013 -,WVB,34579,Women's Volleyball
Monmouth University,"Palmateer, Jennifer",Jun 2011 - May 2018,WBB,27163,Women's Basketball
University of Alabama,"Palmer, Betty",Aug 2003 - Jul 2005,WGO,1979,Women's Golf
The University of Southern Mississippi,"Palmer, Corky",Aug 1997 - Aug 2009,MBA,6581,Baseball
"University of California, Riverside","Palmer, Nikki",Sep 2016 -,WSB,45071,Softball
Utah Valley University,"Palmer, Nikki",Aug 2013 - Sep 2016,WSB,34558,Softball
Presbyterian College,"Palmer, Thad",Jul 2007 - Jul 2018,WCC,9951,Women's Cross Country
Presbyterian College,"Palmer, Thad",Jul 2007 - Jul 2018,MCC,18435,Men's Cross Country
The University of North Carolina at Greensboro,"Palmer, Wendy",Aug 2011 - May 2016,WBB,27281,Women's Basketball
Bowling Green State University,"Paluch, Scott",Aug 2003 - Aug 2009,MIH,8430,Men's Ice Hockey
Colgate University,"Panatier, Jenna",Jul 2002 - Jul 2006,WVB,7736,Women's Volleyball
University of Michigan,"Pankratz, Marcia",Sep 1996 - Jun 2005,WFH,26007,Field Hockey
University of Michigan,"Pankratz, Marcia",Feb 2009 -,WFH,23059,Field Hockey
Murray State University,"Pannunzio, Joe",Feb 2000 - Jan 2006,MFB,8865,Football
"University of Maryland, College Park","Panova, Daria",Sep 2012 -,WTE,34967,Women's Tennis
"University of North Carolina, Chapel Hill","Papa, Donna J.",Oct 1985 -,WSB,50383,Softball
Wagner College,"Papa, Kevin",Aug 2003 - Dec 2009,WVB,2686,Women's Volleyball
Wagner College,"Papa, Kevin",Sep 2009 - Dec 2009,MTE,19349,Men's Tennis
Wagner College,"Papa, Kevin",Sep 2009 - Dec 2009,WTE,19350,Women's Tennis
Hofstra University,"Papadatos, Dionisios",Sep 2014 -,MWR,37267,Men's Wrestling
Quinnipiac University,"Pappas, Christopher",Aug 2014 -,MTE,37281,Men's Tennis
Marist College,"Parady, Jim",Aug 2003 -,MFB,1559,Football
Manhattan College,"Pardalis, Thomas",Aug 2009 -,WSB,22906,Softball
College of the Holy Cross,"Parenteau, Barry",Aug 2003 - Sep 2018,WSW,776,Women's Swimming and Diving
College of the Holy Cross,"Parenteau, Barry",Aug 2003 - Sep 2018,MSW,8905,Men's Swimming and Diving
University of North Florida,"Parenton, Tim",Jul 2017 -,MBA,46988,Baseball
Samford University,"Parenton, Tim",Oct 1997 - Jul 2004,MBA,21414,Baseball
Elon University,"Parham, Tom",Aug 1985 - Jun 2004,MTE,25986,Men's Tennis
Elon University,"Parham, Tom",Aug 1985 - Jun 2004,WTE,25985,Women's Tennis
Northwestern University,"Pariano, Andrew",Jul 2010 - Nov 2015,MWR,24941,Men's Wrestling
University of Tennessee at Chattanooga,"Paris, Lamont",May 2017 -,MBB,46402,Men's Basketball
Georgetown University,"Paris, Miranda",Aug 2011 - Oct 2015,WCR,30554,Women's Rowing
Austin Peay State University,"Paris, Stephanie",Sep 2012 - Jul 2015,WSB,31903,Softball
"California State University, Fullerton","Park, Daron",Jun 2013 - May 2017,WBB,34421,Women's Basketball
Seattle University,"Park, Jennifer",Aug 2013 -,WCR,37747,Women's Rowing
Nicholls State University,"Parker, B.D.",Aug 2003 - Jul 2005,MBA,3925,Baseball
Purdue University,"Parker, Gerad",Nov 2016 - Jan 2017,MFB,45541,Football
Boston University,"Parker, Jack",Feb 1973 - Jul 2013,MIH,22511,Men's Ice Hockey
Syracuse University,"Parker, Kathleen",Aug 2003 - Dec 2006,WFH,3242,Field Hockey
The University of North Carolina at Greensboro,"Parker, Michael",Aug 2003 - Aug 2009,MSO,9207,Men's Soccer
Dartmouth College,"Parker, Rich",Aug 2005 -,MGO,1326,Men's Golf
University of Akron,"Parker, Steve",Aug 1999 - Aug 2005,MGO,8089,Men's Golf
Indiana University-Purdue University Indianapolis,"Parkinson, Austin",Jun 2011 -,WBB,26625,Women's Basketball
Siena College,"Parks, Deanna",Aug 2006 - Jul 2010,WSB,4218,Softball
Louisiana Tech University,"Parks, Jeff",Aug 2009 - Jul 2014,MGO,19659,Men's Golf
Eastern Michigan University,"Parks, Sue",Sep 2006 -,WTO,8398,"Women's Track, Outdoor"
Ball State University,"Parks, Sue",Aug 1999 - Sep 2006,WTI,3934,"Women's Track, Indoor"
Eastern Michigan University,"Parks, Sue",Sep 2006 -,WTI,2438,"Women's Track, Indoor"
Eastern Michigan University,"Parks, Sue",Sep 2006 -,WCC,8236,Women's Cross Country
Ball State University,"Parks, Sue",Aug 1999 - Sep 2006,WTO,1631,"Women's Track, Outdoor"
Ball State University,"Parks, Sue",Sep 1994 - Sep 2006,WCC,322,Women's Cross Country
University of Texas at San Antonio,"Parnaby, Carrie",Sep 2008 - Jun 2017,WGO,9645,Women's Golf
Lipscomb University,"Parrish, Jenger",Aug 2003 - Feb 2007,WSO,5158,Women's Soccer
Ball State University,"Parrish, Stan",Jan 2009 - Jan 2011,MFB,1116,Football
Portland State University,"Parrott, Brian",Sep 2008 - Mar 2010,MTE,9545,Men's Tennis
Portland State University,"Parrott, Brian",Sep 2008 - Mar 2010,WTE,5177,Women's Tennis
Canisius College,"Parrotta, Tom",May 2006 - Jul 2012,MBB,10179,Men's Basketball
Liberty University,"Parsley, Nikki",Feb 2017 -,WFH,45925,Field Hockey
Howard University,"Parson, Cathy",Nov 2000 - Aug 2008,WBB,1059,Women's Basketball
Oakland University,"Parsons, Gary",May 1981 - May 2009,MSO,22512,Men's Soccer
Nicholls State University,"Parsons, Jenny",Aug 2004 - Oct 2011,WSB,3794,Softball
University of North Dakota,"Parsons, Steve",Jul 2009 - Jun 2013,MSW,23369,Men's Swimming and Diving
University of North Dakota,"Parsons, Steve",Jul 2009 - Jun 2013,WSW,23370,Women's Swimming and Diving
University of Vermont,"Parsons-Reinhart, Muff",Aug 2003 - Aug 2004,WTE,9853,Women's Tennis
Florida Atlantic University,"Partridge, Charlie",Jan 2014 - Jan 2017,MFB,35241,Football
College of the Holy Cross,"Pascal, Adam",Aug 2004 - Apr 2011,MLA,6350,Men's Lacrosse
Hofstra University,"Pasion, Jason",Nov 2016 -,MTE,45506,Men's Tennis
Hofstra University,"Pasion, Jason",Nov 2016 -,WTE,45507,Women's Tennis
Illinois State University,"Paska, Steve",Sep 1985 - Jul 2015,WSW,6548,Women's Swimming and Diving
Youngstown State University,"Pasquale, Rich",Aug 2007 - Aug 2012,MBA,9428,Baseball
University of Connecticut,"Pasqualoni, Paul",Feb 2011 - Oct 2013,MFB,26681,Football
Syracuse University,"Pasqualoni, Paul",Aug 1991 - Jan 2005,MFB,8191,Football
Rider University,"Pasquariello, Rob",Oct 2006 - Jun 2008,MCC,8377,Men's Cross Country
Rider University,"Pasquariello, Rob",Oct 2006 - Jun 2008,WTI,7801,"Women's Track, Indoor"
Rider University,"Pasquariello, Rob",Oct 2006 - Jun 2008,MTI,2976,"Men's Track, Indoor"
Rider University,"Pasquariello, Rob",Oct 2006 - Jun 2008,WTO,4636,"Women's Track, Outdoor"
Rider University,"Pasquariello, Rob",Oct 2006 - Jun 2008,MTO,8466,"Men's Track, Outdoor"
Rider University,"Pasquariello, Rob",Oct 2006 - Jun 2008,WCC,8519,Women's Cross Country
Saint Peter's University,"Passante, Ken",Nov 2013 - Jun 2016,WSB,35046,Softball
University of New Orleans,"Pasternack, Joe",Aug 2007 - Jun 2011,MBB,2469,Men's Basketball
"University of California, Santa Barbara","Pasternack, Joe",May 2017 -,MBB,46309,Men's Basketball
University of Memphis,"Pastner, Josh",May 2009 - May 2016,MBB,10475,Men's Basketball
Georgia Institute of Technology,"Pastner, Josh",May 2016 -,MBB,43321,Men's Basketball
University of Evansville,"Pat, Mary",Jul 2000 - Jun 2005,WGO,2390,Women's Golf
University of Georgia,"Patberg, Sue",Jan 2000 - Dec 2004,WSO,7175,Women's Soccer
Arkansas State University,"Patchell, Jim",Sep 2011 - Jul 2017,MCC,27228,Men's Cross Country
Campbell University,"Patchell, Jim",Sep 2003 - Sep 2011,WTO,8818,"Women's Track, Outdoor"
Arkansas State University,"Patchell, Jim",Sep 2011 -,WTO,27231,"Women's Track, Outdoor"
Arkansas State University,"Patchell, Jim",Sep 2011 - Jul 2017,WCC,27229,Women's Cross Country
Campbell University,"Patchell, Jim",Aug 2004 - Sep 2011,MTO,7143,"Men's Track, Outdoor"
Arkansas State University,"Patchell, Jim",Sep 2011 -,WTI,27230,"Women's Track, Indoor"
Arkansas State University,"Patchell, Jim",Sep 2011 -,MTI,27232,"Men's Track, Indoor"
Campbell University,"Patchell, Jim",Sep 2003 - Sep 2011,WTI,8623,"Women's Track, Indoor"
Campbell University,"Patchell, Jim",Aug 2004 - Sep 2011,MTI,2431,"Men's Track, Indoor"
Arkansas State University,"Patchell, Jim",Sep 2011 -,MTO,27233,"Men's Track, Outdoor"
Brigham Young University,"Patchell, Shawn",Oct 2006 - Sep 2010,MVB,8366,Men's Volleyball
Princeton University,"Pate, Billy",Aug 2012 -,MTE,30483,Men's Tennis
University of Alabama,"Pate, Billy",Aug 2003 - Aug 2012,MTE,22513,Men's Tennis
Pennsylvania State University,"Paterno, Joe",Mar 1966 - Dec 2011,MFB,6885,Football
Yale University,"Paterson, Dave",Aug 1975 - Jul 2008,MGO,1779,Men's Golf
Davidson College,"Patnesky, Bob",Aug 2004 - Feb 2017,MWR,1091,Men's Wrestling
"University of Nevada, Reno","Patraw, Terri",Aug 2003 - Sep 2007,WSO,9179,Women's Soccer
"University of Tennessee, Knoxville","Patrick, Mike",Aug 1986 - Dec 2016,WTE,6675,Women's Tennis
"University of Tennessee, Knoxville","Patrick, Rob",Jul 1997 - Feb 2018,WVB,6601,Women's Volleyball
Saint Francis University (Pennsylvania),"Patrick-Swift, Jennifer",Jul 2011 - Jul 2018,WSB,27414,Softball
Loyola University Maryland,"Patsos, Jimmy",May 2004 - May 2013,MBB,45873,Men's Basketball
Siena College,"Patsos, Jimmy",May 2013 - May 2018,MBB,33800,Men's Basketball
Purdue University Fort Wayne,"Patterson, Bruce",Aug 2003 - Jan 2006,WBB,2644,Women's Basketball
Fairfield University,"Patterson, David",Sep 2007 -,WCR,1849,Women's Rowing
Iona College,"Patterson, David",Sep 2005 - Aug 2007,WCR,4444,Women's Rowing
Kansas State University,"Patterson, Deb",May 1996 - Apr 2014,WBB,1570,Women's Basketball
Western Illinois University,"Patterson, Don",Aug 2003 - Oct 2009,MFB,1392,Football
Texas Christian University,"Patterson, Gary",Aug 2003 -,MFB,9055,Football
Mississippi Valley State University,"Patterson, Kirk",Aug 2007 - Aug 2010,WGO,5846,Women's Golf
Mississippi Valley State University,"Patterson, Kirk",Aug 2007 - Aug 2010,MGO,3259,Men's Golf
Montana State University-Bozeman,"Patterson, Luke",Nov 2012 - Sep 2013,WSK,33688,Women's Skiing
Montana State University-Bozeman,"Patterson, Luke",Nov 2012 - Sep 2013,MSK,33689,Men's Skiing
Southeast Missouri State University,"Patterson, Rekha",May 2015 -,WBB,40238,Women's Basketball
Dartmouth College,"Patterson, Ruff",Aug 2004 - Aug 2005,WSK,4724,Women's Skiing
Dartmouth College,"Patterson, Ruff",Aug 1991 - Aug 2016,MSK,9530,Men's Skiing
University of Alabama,"Patterson, Sarah D.",Aug 1978 - Aug 2014,WGY,45404,Women's Gymnastics
University of the Incarnate Word,"Patterson, Tina",Sep 1993 - Dec 2013,WSO,20437,Women's Soccer
University at Albany,"Patterson, Trina",Jul 2002 - Apr 2010,WBB,8707,Women's Basketball
The University of North Carolina at Greensboro,"Patterson, Trina",May 2016 -,WBB,45425,Women's Basketball
Dartmouth College,"Patton, Amy",Aug 1992 - Sep 2016,WLA,22514,Women's Lacrosse
Boise State University,"Patton, Greg",Mar 2003 - Jun 2018,MTE,1498,Men's Tennis
"University of California, Riverside","Patton, Michelle",Mar 2013 -,WVB,32352,Women's Volleyball
Northern Illinois University,"Patton, Ricardo",Apr 2007 - May 2011,MBB,4969,Men's Basketball
"University of Colorado, Boulder","Patton, Ricardo",Feb 1996 - Apr 2007,MBB,9349,Men's Basketball
University of Vermont,"Patton, Roy",Sep 1996 - Dec 2003,MSO,25966,Men's Soccer
Gardner-Webb University,"Patton, Steve",Feb 1997 - Jan 2011,MFB,6478,Football
Elon University,"Paul, Brenda",Jul 1994 - Apr 2008,WBB,8827,Women's Basketball
Purdue University Fort Wayne,"Paul, Chris",Jan 2006 - Apr 2016,WBB,7000,Women's Basketball
University of Michigan,"Paul, John",Jul 2011 - Jun 2017,MLA,27006,Men's Lacrosse
Jacksonville University,"Paul, Kevin",Jul 2004 - Oct 2005,WVB,10139,Women's Volleyball
"University of North Carolina, Chapel Hill","Paul, Sampson L.",Aug 1993 -,MTE,50370,Men's Tennis
Creighton University,"Paule, Ross",Feb 2015 -,WSO,40208,Women's Soccer
The Ohio State University,"Paulicivic, Meredith",Aug 2017 -,WGY,47560,Women's Gymnastics
George Mason University,"Paulsen, Dave",May 2015 -,MBB,41540,Men's Basketball
Bucknell University,"Paulsen, Dave",Aug 2008 - Apr 2015,MBB,21272,Men's Basketball
University of Northern Iowa,"Paulsen, David",Sep 2015 -,MTI,41032,"Men's Track, Indoor"
University of Northern Iowa,"Paulsen, David",Sep 2015 -,WTO,41036,"Women's Track, Outdoor"
University of Northern Iowa,"Paulsen, David",Sep 2015 -,MCC,41033,Men's Cross Country
University of Northern Iowa,"Paulsen, David",Sep 2015 -,MTO,41034,"Men's Track, Outdoor"
University of Northern Iowa,"Paulsen, David",Sep 2015 -,WCC,41037,Women's Cross Country
University of Northern Iowa,"Paulsen, David",Sep 2015 -,WTI,41035,"Women's Track, Indoor"
Southern Illinois University Edwardsville,"Paulus, Kendall",Jul 2017 -,WVB,46969,Women's Volleyball
Pennsylvania State University,"Pavlik, Mark",Sep 1995 -,MVB,4080,Men's Volleyball
"University of Tennessee, Knoxville","Pavon, Judi",Aug 2000 -,WGO,8754,Women's Golf
Stony Brook University,"Pawlikowski, Nicole",Feb 2013 - Jan 2017,WVB,34874,Women's Volleyball
Western Kentucky University,"Pawlowski, John",Jul 2015 -,MBA,40694,Baseball
College of Charleston (South Carolina),"Pawlowski, John",Jan 2000 - Aug 2008,MBA,3125,Baseball
Auburn University,"Pawlowski, John",Jul 2008 - Jul 2013,MBA,7231,Baseball
Winthrop University,"Paxton, Ben",Feb 1993 -,WTO,2992,"Women's Track, Outdoor"
Winthrop University,"Paxton, Ben",Aug 2003 -,MTI,2678,"Men's Track, Indoor"
Winthrop University,"Paxton, Ben",Aug 2003 -,WCC,2840,Women's Cross Country
Winthrop University,"Paxton, Ben",Aug 2003 -,MTO,5311,"Men's Track, Outdoor"
Winthrop University,"Paxton, Ben",Aug 2003 -,MCC,9136,Men's Cross Country
Winthrop University,"Paxton, Ben",Feb 1993 -,WTI,2118,"Women's Track, Indoor"
Mississippi Valley State University,"Payne, Andre",Aug 2014 -,MBB,37712,Men's Basketball
Ball State University,"Payne, Annette",Aug 2001 - Jan 2010,WFH,6949,Field Hockey
University of Evansville,"Payne, Chris",Dec 1976 - Sep 2004,WTE,7160,Women's Tennis
Savannah State University,"Payne, Craig",Aug 2002 - Aug 2004,WTE,474,Women's Tennis
University of South Carolina Upstate,"Payne, Eddie",May 2002 - Nov 2017,MBB,2337,Men's Basketball
Wagner College,"Payne, Glen",Aug 2003 - Jun 2015,WSB,414,Softball
"University of Colorado, Boulder","Payne, J.R.",May 2016 -,WBB,44099,Women's Basketball
Southern Utah University,"Payne, J.R.",Jun 2009 - May 2014,WBB,19480,Women's Basketball
Santa Clara University,"Payne, J.R.",May 2014 - Apr 2016,WBB,37579,Women's Basketball
Mercer University,"Payne, Jason",Sep 2003 - Aug 2007,MGO,415,Men's Golf
Charleston Southern University,"Payne, Jason",Aug 2017 -,MGO,47525,Men's Golf
Northern Arizona University,"Payne, Loree",May 2017 -,WBB,47146,Women's Basketball
U.S. Military Academy,"Payne, Russell",Jan 2010 -,MSO,23902,Men's Soccer
Tennessee Technological University,"Payne, Steve",Jun 2011 -,MBB,26881,Men's Basketball
Indiana University-Purdue University Indianapolis,"Payne, Steve",Jun 1997 -,WVB,8952,Women's Volleyball
